Exclude (Y/N),Experiment,Date,JulianDate,PrePost,Plot,Strip,Coordinates,Farm_Coordinates,PT_Height(mm),NDVI_mean,GNDVI_mean,SAVI_mean,MSAVI_mean,NDRE_mean,CLRE_mean,SRre_mean,unique_id,Dry Matter %,Residula,Biomass (kg/ha),Total Biomass (kg/ha)
N,TB,5/5/2025,125,Pre,28.1,17,"POLYGON ((-92.27077523 38.90560327, -92.27077506 38.90559611, -92.27070633 38.90559655, -92.27070651 38.90560371, -92.27077523 38.90560327))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",362.36,0.737,0.682,1.106,0.849,0.557,2.514,3.514,28.1_17,0.22,1056,4284.85,5340.85
N,TB,5/5/2025,125,Pre,28.1,18,"POLYGON ((-92.27067465 38.90560356, -92.27067485 38.90559631, -92.27060541 38.90559605, -92.27060534 38.9056034, -92.27067465 38.90560356))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",364.38,0.748,0.679,1.121,0.856,0.574,2.693,3.693,28.1_18,0.2,1056,3227.47,4283.47
N,TB,5/5/2025,125,Pre,28.1,19,"POLYGON ((-92.27060549 38.90558697, -92.27060554 38.90557984, -92.27067485 38.9055797, -92.27067476 38.90558717, -92.27060549 38.90558697))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",414.63,0.748,0.679,1.121,0.856,0.574,2.693,3.693,28.1_19,0.23,1056,5361.12,6417.12
N,TB,5/5/2025,125,Pre,28.1,20,"POLYGON ((-92.27070614 38.90558734, -92.27070623 38.90558001, -92.27077483 38.9055797, -92.27077477 38.90558702, -92.27070614 38.90558734))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",397.62,0.737,0.682,1.106,0.849,0.557,2.514,3.514,28.1_20,0.2,1056,5178.72,6234.72
N,TB,5/5/2025,125,Pre,28.1,21,"POLYGON ((-92.27077474 38.90557041, -92.27077451 38.90556309, -92.27070626 38.9055633, -92.27070635 38.90557079, -92.27077474 38.90557041))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",417.6,0.741,0.685,1.112,0.852,0.558,2.522,3.522,28.1_21,0.23,1056,4822.42,5878.42
Y,TB,5/5/2025,125,Pre,28.1,22,"POLYGON ((-92.27067485 38.90557058, -92.27067523 38.9055633, -92.2706056 38.90556324, -92.27060553 38.90557049, -92.27067485 38.90557058))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",501.14,0.756,0.681,1.133,0.861,0.575,2.709,3.709,28.1_22,0.16,1056,5358.14,6414.14
N,TB,5/5/2025,125,Pre,28.2,7,"POLYGON ((-92.27113306 38.90549054, -92.27113324 38.90548272, -92.2710652 38.90548345, -92.27106484 38.90549145, -92.27113306 38.90549054))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",310.64,0.683,0.646,1.024,0.811,0.514,2.116,3.116,28.2_7,0.22,1056,3871.65,4927.65
N,TB,5/5/2025,125,Pre,28.2,8,"POLYGON ((-92.27123203 38.90547508, -92.27123222 38.90549145, -92.27116272 38.90549145, -92.27116217 38.90547544, -92.27123203 38.90547508))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",348.73,0.705,0.636,1.058,0.827,0.518,2.148,3.148,28.2_8,0.22,1056,4387.15,5443.15
N,TB,5/5/2025,125,Pre,28.2,9,"POLYGON ((-92.27116093 38.9054663, -92.27116092 38.90545894, -92.27123237 38.9054586, -92.2712326 38.90546596, -92.27116093 38.9054663))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",378.42,0.695,0.632,1.043,0.82,0.519,2.159,3.159,28.2_9,0.19,1056,4969.92,6025.92
N,TB,5/5/2025,125,Pre,28.2,10,"POLYGON ((-92.27106185 38.9054665, -92.27106181 38.90545921, -92.27113231 38.90545922, -92.27113239 38.90546654, -92.27106185 38.9054665))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",364.84,0.703,0.65,1.055,0.826,0.524,2.202,3.202,28.2_10,0.21,1056,4924.31,5980.31
N,TB,5/5/2025,125,Pre,28.2,11,"POLYGON ((-92.27113197 38.9054598, -92.27113179 38.9054507, -92.27106247 38.90545052, -92.27106338 38.90545852, -92.27113197 38.9054598))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",320.59,0.703,0.65,1.055,0.826,0.524,2.202,3.202,28.2_11,0.22,1056,3820.43,4876.43
N,TB,5/5/2025,125,Pre,28.2,12,"POLYGON ((-92.27116381 38.90545907, -92.27116381 38.90545034, -92.27123294 38.90544997, -92.27123313 38.9054578, -92.27116381 38.90545907))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",317.9,0.695,0.632,1.043,0.82,0.519,2.159,3.159,28.2_12,0.22,1056,4549.64,5605.64
N,TB,5/5/2025,125,Pre,28.2,13,"POLYGON ((-92.27123313 38.90544142, -92.27123313 38.90543505, -92.27116308 38.90543505, -92.27116363 38.9054416, -92.27123313 38.90544142))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",281.21,0.714,0.656,1.071,0.833,0.521,2.177,3.177,28.2_13,0.2,1056,3724.42,4780.42
N,TB,5/5/2025,125,Pre,28.2,14,"POLYGON ((-92.27113361 38.90544197, -92.27113361 38.90543505, -92.27106302 38.90543433, -92.27106284 38.90544179, -92.27113361 38.90544197))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",236,0.715,0.645,1.072,0.834,0.529,2.25,3.25,28.2_14,0.24,1056,2777.34,3833.34
N,TB,5/5/2025,125,Pre,28.2,15,"POLYGON ((-92.27113361 38.9054265, -92.27113288 38.90541923, -92.27106393 38.90541795, -92.27106502 38.90542632, -92.27113361 38.9054265))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",324.15,0.715,0.645,1.072,0.834,0.529,2.25,3.25,28.2_15,0.22,1056,4586.22,5642.22
N,TB,5/5/2025,125,Pre,28.2,16,"POLYGON ((-92.27116153 38.90542596, -92.27116172 38.90541795, -92.27123458 38.90541759, -92.27123504 38.90542559, -92.27116153 38.90542596))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",420.1,0.714,0.656,1.071,0.833,0.521,2.177,3.177,28.2_16,0.2,1056,5381.91,6437.91
N,TB,5/5/2025,125,Pre,28.2,17,"POLYGON ((-92.2712344 38.90540776, -92.27123422 38.90540112, -92.27116281 38.9054014, -92.27116308 38.90540813, -92.2712344 38.90540776))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",497.26,0.727,0.669,1.091,0.842,0.527,2.232,3.232,28.2_17,0.18,1056,6219.4,7275.4
N,TB,5/5/2025,125,Pre,28.2,18,"POLYGON ((-92.27113315 38.90540085, -92.27113361 38.90540931, -92.27106265 38.90540913, -92.27106265 38.90540131, -92.27113315 38.90540085))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",505.52,0.694,0.642,1.041,0.82,0.518,2.153,3.153,28.2_18,0.16,1056,5915.37,6971.37
N,TB,5/5/2025,125,Pre,28.2,19,"POLYGON ((-92.27106456 38.90539212, -92.27106393 38.90538575, -92.27113297 38.9053853, -92.27113306 38.90539257, -92.27106456 38.90539212))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",469.34,0.694,0.642,1.041,0.82,0.518,2.153,3.153,28.2_19,0.18,1056,5378.75,6434.75
N,TB,5/5/2025,125,Pre,28.2,20,"POLYGON ((-92.27116354 38.90538439, -92.27116363 38.90539112, -92.27123276 38.90539166, -92.27123285 38.9053852, -92.27116354 38.90538439))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",398.98,0.733,0.677,1.099,0.846,0.533,2.282,3.282,28.2_20,0.2,1056,5379.96,6435.96
N,TB,5/5/2025,125,Pre,28.2,21,"POLYGON ((-92.27123249 38.9053752, -92.2712324 38.90536901, -92.27116199 38.90536883, -92.27116217 38.90537629, -92.27123249 38.9053752))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",335.1,0.733,0.677,1.099,0.846,0.533,2.282,3.282,28.2_21,0.23,1056,3977.31,5033.31
N,TB,5/5/2025,125,Pre,28.2,22,"POLYGON ((-92.2711337 38.90537538, -92.27113315 38.90536947, -92.27106502 38.90536865, -92.27106511 38.90537602, -92.2711337 38.90537538))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",359.92,0.705,0.647,1.058,0.827,0.52,2.163,3.163,28.2_22,0.22,1056,4264.56,5320.56
N,TB,5/5/2025,125,Pre,28.3,1,"POLYGON ((-92.27031774 38.90573598, -92.27031798 38.90572871, -92.27024764 38.90572859, -92.27024728 38.90573583, -92.27031774 38.90573598))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",450.22,0.721,0.659,1.082,0.838,0.539,2.334,3.334,28.3_1,0.23,1056,5347.66,6403.66
N,TB,5/5/2025,125,Pre,28.3,2,"POLYGON ((-92.27021824 38.90573612, -92.27021802 38.90572885, -92.27014831 38.90572898, -92.27014808 38.90573628, -92.27021824 38.90573612))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",409.03,0.702,0.659,1.052,0.825,0.54,2.347,3.347,28.3_2,0.25,1056,5555.77,6611.77
N,TB,5/5/2025,125,Pre,28.3,3,"POLYGON ((-92.2701483 38.90571996, -92.2701485 38.90571268, -92.27021794 38.90571246, -92.27021796 38.90571975, -92.2701483 38.90571996))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",458.17,0.702,0.659,1.052,0.825,0.54,2.347,3.347,28.3_3,0.2,1056,5093.13,6149.13
N,TB,5/5/2025,125,Pre,28.3,4,"POLYGON ((-92.27024743 38.90571952, -92.2702473 38.90571216, -92.27031818 38.90571232, -92.2703181 38.90571967, -92.27024743 38.90571952))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",467.98,0.721,0.659,1.082,0.838,0.539,2.334,3.334,28.3_4,0.23,1056,5522.45,6578.45
N,TB,5/5/2025,125,Pre,28.3,5,"POLYGON ((-92.27031819 38.90570309, -92.27031822 38.90569575, -92.27024679 38.90569572, -92.27024695 38.90570309, -92.27031819 38.90570309))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",482.4,0.725,0.665,1.087,0.841,0.559,2.536,3.536,28.3_5,0.2,1056,6009.16,7065.16
N,TB,5/5/2025,125,Pre,28.3,6,"POLYGON ((-92.27021772 38.90570332, -92.27021793 38.90569607, -92.2701488 38.90569606, -92.27014874 38.90570341, -92.27021772 38.90570332))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",411.07,0.715,0.659,1.072,0.833,0.556,2.501,3.501,28.3_6,0.19,1056,5450.77,6506.77
N,TB,5/5/2025,125,Pre,28.3,7,"POLYGON ((-92.27014909 38.90568705, -92.27014902 38.90567974, -92.27021784 38.90567964, -92.27021789 38.90568706, -92.27014909 38.90568705))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",418.84,0.715,0.659,1.072,0.833,0.556,2.501,3.501,28.3_7,0.22,1056,5832.99,6888.99
N,TB,5/5/2025,125,Pre,28.3,8,"POLYGON ((-92.27024684 38.90568662, -92.27024699 38.90567928, -92.27031849 38.90567941, -92.27031853 38.90568672, -92.27024684 38.90568662))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",485.88,0.725,0.665,1.087,0.841,0.559,2.536,3.536,28.3_8,0.2,1056,6446.93,7502.93
Y,TB,5/5/2025,125,Pre,28.3,9,"POLYGON ((-92.27031848 38.90567017, -92.27031861 38.90566289, -92.27024699 38.90566281, -92.27024699 38.90567006, -92.27031848 38.90567017))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",482.39,0.73,0.672,1.094,0.844,0.554,2.48,3.48,28.3_9,0.18,1056,5753.46,6809.46
N,TB,5/5/2025,125,Pre,28.3,10,"POLYGON ((-92.27021774 38.90567035, -92.27021766 38.90566297, -92.27014931 38.90566315, -92.27014916 38.90567046, -92.27021774 38.90567035))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",509.15,0.73,0.654,1.095,0.844,0.543,2.372,3.372,28.3_10,0.2,1056,6631.9,7687.9
N,TB,5/5/2025,125,Pre,28.3,11,"POLYGON ((-92.27014926 38.90565418, -92.27014951 38.90564678, -92.27021734 38.90564671, -92.27021736 38.90565397, -92.27014926 38.90565418))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",480.53,0.722,0.667,1.083,0.838,0.546,2.403,3.403,28.3_11,0.18,1056,6078.44,7134.44
N,TB,5/5/2025,125,Pre,28.3,12,"POLYGON ((-92.27024713 38.90565405, -92.27024789 38.90564652, -92.27031848 38.90564652, -92.27031845 38.90565388, -92.27024713 38.90565405))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",476.04,0.731,0.674,1.097,0.845,0.538,2.329,3.329,28.3_12,0.2,1056,5968.5,7024.5
Maybe,TB,5/5/2025,125,Pre,28.3,13,"POLYGON ((-92.27031838 38.90563738, -92.27031849 38.90562998, -92.27024854 38.90562989, -92.27024832 38.90563729, -92.27031838 38.90563738))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",448.77,0.731,0.674,1.097,0.845,0.538,2.329,3.329,28.3_13,0.19,1056,6649.86,7705.86
N,TB,5/5/2025,125,Pre,28.3,14,"POLYGON ((-92.27021708 38.90563741, -92.27021702 38.90563011, -92.27014981 38.90563036, -92.27014984 38.9056377, -92.27021708 38.90563741))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",469.61,0.722,0.667,1.083,0.838,0.546,2.403,3.403,28.3_14,0.21,1056,5940.75,6996.75
N,TB,5/5/2025,125,Pre,28.3,15,"POLYGON ((-92.27014941 38.9056213, -92.2701494 38.90561398, -92.27021719 38.90561379, -92.27021709 38.90562123, -92.27014941 38.9056213))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",415.01,0.727,0.674,1.09,0.842,0.543,2.376,3.376,28.3_15,0.26,1056,4438.94,5494.94
N,TB,5/5/2025,125,Pre,28.3,16,"POLYGON ((-92.27024852 38.90562094, -92.27024854 38.90561361, -92.27031798 38.90561364, -92.270318 38.90562099, -92.27024852 38.90562094))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",367.42,0.732,0.673,1.097,0.845,0.532,2.275,3.275,28.3_16,0.26,1056,3544.49,4600.49
N,TB,5/5/2025,125,Pre,28.3,17,"POLYGON ((-92.27031779 38.90560448, -92.27031808 38.90559716, -92.27024867 38.90559706, -92.2702488 38.90560438, -92.27031779 38.90560448))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",259.48,0.732,0.673,1.097,0.845,0.532,2.275,3.275,28.3_17,0.25,1056,2639.29,3695.29
N,TB,5/5/2025,125,Pre,28.3,18,"POLYGON ((-92.27021751 38.90560465, -92.27021734 38.90559728, -92.27014947 38.90559732, -92.27014943 38.90560468, -92.27021751 38.90560465))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",332.78,0.727,0.674,1.09,0.842,0.543,2.376,3.376,28.3_18,0.26,1056,3427.31,4483.31
N,TB,5/5/2025,125,Pre,28.3,19,"POLYGON ((-92.27014954 38.90558831, -92.27014951 38.90558103, -92.27021767 38.90558094, -92.27021732 38.90558828, -92.27014954 38.90558831))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",452.08,0.729,0.672,1.093,0.843,0.535,2.304,3.304,28.3_19,0.23,1056,5733.65,6789.65
Maybe,TB,5/5/2025,125,Pre,28.3,20,"POLYGON ((-92.27024887 38.90558796, -92.27024922 38.90558068, -92.27031851 38.90558067, -92.2703182 38.90558809, -92.27024887 38.90558796))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",409.83,0.738,0.68,1.108,0.85,0.558,2.522,3.522,28.3_20,0.22,1056,6421.05,7477.05
N,TB,5/5/2025,125,Pre,28.3,21,"POLYGON ((-92.27031837 38.90557144, -92.27031819 38.90556415, -92.27024974 38.90556416, -92.2702496 38.90557146, -92.27031837 38.90557144))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",418.27,0.739,0.681,1.109,0.85,0.555,2.499,3.499,28.3_21,0.23,1056,5479.5,6535.5
Maybe,TB,5/5/2025,125,Pre,28.3,22,"POLYGON ((-92.27021784 38.90557163, -92.27021797 38.90556437, -92.27014975 38.90556446, -92.2701496 38.90557182, -92.27021784 38.90557163))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",415.84,0.728,0.67,1.091,0.842,0.534,2.293,3.293,28.3_22,0.24,1056,6331.48,7387.48
Maybe,TB,5/5/2025,125,Pre,28.4,1,"POLYGON ((-92.27047864 38.90552564, -92.2704786 38.90553289, -92.27054819 38.9055322, -92.27054804 38.90552481, -92.27047864 38.90552564))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",495.21,0.741,0.676,1.112,0.851,0.553,2.476,3.476,28.4_1,0.15,1056,4622.58,5678.58
N,TB,5/5/2025,125,Pre,28.4,2,"POLYGON ((-92.27037717 38.90552587, -92.27037715 38.90553331, -92.27044652 38.90553295, -92.27044667 38.90552573, -92.27037717 38.90552587))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",513.47,0.744,0.672,1.117,0.853,0.559,2.536,3.536,28.4_2,0.17,1056,5765.36,6821.36
N,TB,5/5/2025,125,Pre,28.4,3,"POLYGON ((-92.2704463 38.90550918, -92.27044634 38.90551638, -92.2703774 38.90551672, -92.27037701 38.90550929, -92.2704463 38.90550918))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",465.86,0.736,0.677,1.104,0.848,0.544,2.389,3.389,28.4_3,0.19,1056,5802.39,6858.39
Y,TB,5/5/2025,125,Pre,28.4,4,"POLYGON ((-92.27054801 38.90550846, -92.27054803 38.90551571, -92.27047872 38.90551635, -92.27047869 38.90550889, -92.27054801 38.90550846))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",533.19,0.742,0.677,1.112,0.852,0.558,2.528,3.528,28.4_4,0.18,1056,5178.07,6234.07
Y,TB,5/5/2025,125,Pre,28.4,5,"POLYGON ((-92.27047862 38.9054927, -92.27047876 38.90549996, -92.27054807 38.90549938, -92.2705477 38.90549182, -92.27047862 38.9054927))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",411.69,0.742,0.677,1.112,0.852,0.558,2.528,3.528,28.4_5,0.2,1056,4357.79,5413.79
N,TB,5/5/2025,125,Pre,28.4,6,"POLYGON ((-92.27037741 38.90549309, -92.27037714 38.90550048, -92.27044649 38.90550007, -92.27044651 38.9054925, -92.27037741 38.90549309))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",322.16,0.736,0.677,1.104,0.848,0.544,2.389,3.389,28.4_6,0.25,1056,3932.14,4988.14
N,TB,5/5/2025,125,Pre,28.4,7,"POLYGON ((-92.27044681 38.90547612, -92.27044676 38.90548334, -92.27037729 38.90548382, -92.27037756 38.90547646, -92.27044681 38.90547612))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",386.35,0.731,0.681,1.096,0.845,0.543,2.378,3.378,28.4_7,0.22,1056,5072.21,6128.21
Y,TB,5/5/2025,125,Pre,28.4,8,"POLYGON ((-92.27054796 38.90547544, -92.27054793 38.90548284, -92.2704788 38.90548345, -92.27047886 38.90547609, -92.27054796 38.90547544))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",472.29,0.744,0.676,1.115,0.853,0.562,2.564,3.564,28.4_8,0.19,1056,6092.72,7148.72
N,TB,5/5/2025,125,Pre,28.4,9,"POLYGON ((-92.27047853 38.90545983, -92.27047831 38.90546723, -92.27054775 38.90546649, -92.27054759 38.90545906, -92.27047853 38.90545983))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",399.77,0.747,0.68,1.121,0.855,0.575,2.702,3.702,28.4_9,0.18,1056,4987.46,6043.46
N,TB,5/5/2025,125,Pre,28.4,10,"POLYGON ((-92.27037763 38.90546015, -92.27037743 38.90546755, -92.27044668 38.90546722, -92.27044659 38.90545999, -92.27037763 38.90546015))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",429.05,0.729,0.68,1.093,0.843,0.542,2.367,3.367,28.4_10,0.19,1056,5594.91,6650.91
N,TB,5/5/2025,125,Pre,28.4,11,"POLYGON ((-92.27044647 38.90545065, -92.27044643 38.90544331, -92.27037777 38.90544377, -92.27037751 38.90545113, -92.27044647 38.90545065))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",443.01,0.729,0.68,1.093,0.843,0.542,2.367,3.367,28.4_11,0.16,1056,4284.39,5340.39
N,TB,5/5/2025,125,Pre,28.4,12,"POLYGON ((-92.27047817 38.90545063, -92.27047795 38.90544331, -92.27054747 38.90544264, -92.2705474 38.90544993, -92.27047817 38.90545063))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",420,0.747,0.68,1.121,0.855,0.575,2.702,3.702,28.4_12,0.2,1056,5143.43,6199.43
